Bill Number,Title,Session,Status,Issue,TAN Status,Committee,All Org Action Alerts,Hosted AAs,#Actions,Co-hosted AAs,#Actions,Promoted AAs,#Actions,# Total Actions,# Total Click Throughs,Org's Most Recently Published AA,OMRP Date,OMRP Committee,Created By
"=HYPERLINK(""https://www.takeaction.network/bills/6036"", ""1000"")",Providing sales tax relief by expanding the working families' tax credi,2023,H Finance,Tax Fairness / Income Equality,in_committee,House Finance,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1000&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6036"", ""1000"")",Providing sales tax relief by expanding the working families' tax credi,2024,H Finance,Tax Fairness / Income Equality,in_committee,House Finance,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1000&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6047"", ""1011"")",Repealing the long-term services and supports trust program.,2023,H HC/Wellness,Healthcare,in_committee,House Health Care & Wellness,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1011&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6047"", ""1011"")",Repealing the long-term services and supports trust program.,2024,H HC/Wellness,Healthcare,in_committee,House Health Care & Wellness,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1011&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6048"", ""1012"")",Addressing the response to extreme weather events.,2023,C 172 L 24,Averting Climate Catastrophe,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1012&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6048"", ""1012"")",Addressing the response to extreme weather events.,2024,C 172 L 24,Averting Climate Catastrophe,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1012&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""3"")",3,64,0,0,0,0,64,82,"=HYPERLINK(""https://www.takeaction.network/xactions/35075"", ""Comment on HB 1012 (Extreme weather protection grants)"")",02/27/2024,Senate Rules,Max P.
"=HYPERLINK(""https://www.takeaction.network/bills/6063"", ""1013"")",Establishing regional apprenticeship programs.,2023,C 128 L 23,,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1013&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6063"", ""1013"")",Establishing regional apprenticeship programs.,2024,C 128 L 23,,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1013&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6089"", ""1018"")",Changing the expiration date for the sales and use tax exemption of hog,2023,C 341 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1018&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""1"")",1,6,0,0,0,0,6,6,"=HYPERLINK(""https://www.takeaction.network/xactions/32105"", ""Oppose Hog fuel/tax exemption in the House Finance Committee"")",01/18/2023,House Finance,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6089"", ""1018"")",Changing the expiration date for the sales and use tax exemption of hog,2024,C 341 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1018&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6106"", ""1025"")",Creating a private right of action for harm from violations of the stat,2023,H Civil R & Judi,Police Accountability,in_committee,House Civil Rights & Judiciary,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1025&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""6"")",3,21,0,0,3,216,237,283,"=HYPERLINK(""https://www.takeaction.network/xactions/33017"", ""Get House Leadership to Schedule a Vote for HB 1025"")",03/06/2023,House,Daniel W.
